
Run     SWR     Gain    F/B     F/R     R-a     X-a     Eff.    Wb      

1-0     9.7011  -3.569  2.4343  -0.089  291.82  235.36  35.15   9       
1-1     10.3    -3.213  2.3217  -0.083  302.77  251.44  40.37   11.7    
1-2     11.096  -2.76   2.2509  -0.08   316.85  272.63  46.81   14.4    
1-3     12.089  -2.22   2.2383  -0.08   333.8   298.71  54.03   17.1    
1-4     13.256  -1.65   2.2611  -0.08   354.16  328.85  61.46   19.8    
1-5     14.555  -1.079  2.3274  -0.089  380.14  361.86  68.43   22.5    
1-6     15.919  -0.564  2.4114  -0.094  416.73  396.02  74.21   25.2    
1-7     17.219  -0.143  2.508   -0.103  470.59  427.27  78.51   27.9    
1-8     18.283  0.1686  2.6097  -0.111  545.77  447.26  81.73   30.6    
1-9     18.969  0.38    2.7251  -0.12   641.75  442.75  84.41   33.3    
1-10    19.165  0.47    2.844   -0.14   749.49  394.86  86.92   36      
